"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-ND22",1.83400992258809e-14,0.393743724379505,0.993,0.892,4.06416598845521e-10,"4","MT-ND2"
"NDUFB71",1.88604133342158e-14,0.783390106383669,0.475,0.349,4.17946759486221e-10,"4","NDUFB7"
"BTG11",2.03873162709703e-14,0.560221018313972,0.739,0.611,4.51782928564702e-10,"4","BTG1"
"TMSB4XP41",2.22479057690852e-14,0.612740953171718,0.475,0.313,4.93013591842929e-10,"4","TMSB4XP4"
"GMFG2",2.73839486651026e-14,0.595458341268871,0.627,0.487,6.06828302418673e-10,"4","GMFG"
"ARHGAP30",3.71936516949401e-14,0.898593907994117,0.257,0.127,8.24211321559872e-10,"4","ARHGAP30"
"GADD45B",4.24526105416075e-14,0.771165625533207,0.406,0.257,9.40749849602023e-10,"4","GADD45B"
"TGFB11",4.24766709388286e-14,0.805050943326063,0.267,0.132,9.41283028004442e-10,"4","TGFB1"
"DDX3Y",5.38862285725153e-14,0.887127014240547,0.314,0.175,1.19411882516694e-09,"4","DDX3Y"
"MT2A1",5.96636503524202e-14,0.917303686770697,0.393,0.249,1.32214649180963e-09,"4","MT2A"
"ACAP11",8.39074080187034e-14,0.776958422671715,0.376,0.23,1.85938816169447e-09,"4","ACAP1"
"ARPC31",9.59485967735659e-14,0.599030706887965,0.677,0.573,2.12622090450222e-09,"4","ARPC3"
"IFI16",1.07452733820522e-13,0.816470014815159,0.274,0.14,2.38115258146277e-09,"4","IFI16"
"SNRPB1",1.35229219713778e-13,0.775350938162505,0.455,0.329,2.99667950885733e-09,"4","SNRPB"
"ANKRD10",1.65660030946985e-13,0.899870102396028,0.33,0.191,3.6710262857852e-09,"4","ANKRD10"
"ZEB21",1.75756836044619e-13,0.827935407080702,0.267,0.133,3.89477148674877e-09,"4","ZEB2"
"PPIA",2.31969774720021e-13,0.609944320931652,0.66,0.527,5.14045020779567e-09,"4","PPIA"
"RPS261",3.05166720008784e-13,0.3911345624297,0.957,0.806,6.76249451539466e-09,"4","RPS26"
"ARPC51",3.53895595953875e-13,0.678277467485692,0.413,0.271,7.84232640633787e-09,"4","ARPC5"
"AES1",4.18594262516569e-13,0.845318016153255,0.287,0.155,9.27604885736717e-09,"4","AES"
"N4BP2L21",1.25997477606561e-12,0.795180003289996,0.403,0.272,2.79210410376139e-08,"4","N4BP2L2"
"LCK1",1.51845374327245e-12,0.690681623908589,0.343,0.203,3.36489349509174e-08,"4","LCK"
"PRDX51",1.6583562840603e-12,0.685079552404463,0.525,0.446,3.67491752547763e-08,"4","PRDX5"
"CHCHD22",2.51606139990328e-12,0.511613487010059,0.723,0.663,5.57559206218567e-08,"4","CHCHD2"
"CHMP4A",2.78005547312573e-12,0.873913877190164,0.327,0.201,6.16060292844663e-08,"4","CHMP4A"
"CAPZB2",2.93090849131552e-12,0.809998141768212,0.416,0.297,6.4948932167552e-08,"4","CAPZB"
"TSTD11",3.07081961968451e-12,0.811912934506646,0.343,0.216,6.80493627722086e-08,"4","TSTD1"
"STK17A",3.0726801342812e-12,0.78050009460237,0.271,0.147,6.80905917756714e-08,"4","STK17A"
"HNRNPA2B11",3.25934989519181e-12,0.599014762790698,0.644,0.553,7.22271936774505e-08,"4","HNRNPA2B1"
"BST21",3.47288969575681e-12,0.834779300174838,0.337,0.209,7.69592356579709e-08,"4","BST2"
"CYCS1",4.3445609958804e-12,0.742254078838676,0.502,0.398,9.62754716687096e-08,"4","CYCS"
"SUB11",4.85104262561474e-12,0.514473006415129,0.657,0.567,1.07499104583623e-07,"4","SUB1"
"CRIPT",1.13546007810283e-11,0.844015696782165,0.33,0.214,2.51617953307588e-07,"4","CRIPT"
"SDF2L1",1.86267155702327e-11,0.766575249037053,0.277,0.158,4.12768017036357e-07,"4","SDF2L1"
"PPP1CA",2.19535274150702e-11,0.850995973860463,0.353,0.235,4.86490167517955e-07,"4","PPP1CA"
"STK41",2.43507292181343e-11,0.732345776581796,0.38,0.251,5.39612159473857e-07,"4","STK4"
"ENSA",2.48605527904467e-11,0.804613358303565,0.363,0.25,5.50909849836298e-07,"4","ENSA"
"TPM31",2.5852252572563e-11,0.726044880130619,0.475,0.371,5.72885917007996e-07,"4","TPM3"
"TRA2B1",2.84332000259409e-11,0.68937885594511,0.505,0.398,6.3007971257485e-07,"4","TRA2B"
"MT-ND31",3.05344169413091e-11,0.272188356212698,0.964,0.82,6.7664267941941e-07,"4","MT-ND3"
"COX6A11",4.83464442331955e-11,0.594523869461756,0.545,0.461,1.07135720420761e-06,"4","COX6A1"
"NDUFA121",4.87946809310668e-11,0.775188800073284,0.35,0.237,1.08129012943244e-06,"4","NDUFA12"
"ATP5E1",5.48585278038746e-11,0.302065972239759,0.908,0.898,1.21566497613386e-06,"4","ATP5E"
"MTATP6P11",5.82205633715786e-11,0.3623349173964,0.858,0.731,1.29016768431418e-06,"4","MTATP6P1"
"EDF12",6.59954618437114e-11,0.579310606238538,0.591,0.512,1.46245943445665e-06,"4","EDF1"
"IQGAP11",8.89837585862303e-11,0.706940581377414,0.277,0.156,1.97188009027086e-06,"4","IQGAP1"
"C1orf1621",1.32180252551803e-10,0.639600905706225,0.363,0.228,2.92911439654796e-06,"4","C1orf162"
"HNRNPK1",1.53873570766903e-10,0.62282055706877,0.594,0.535,3.40983832819458e-06,"4","HNRNPK"
"TPI11",1.5646523558384e-10,0.635419196940787,0.482,0.373,3.4672696205379e-06,"4","TPI1"
"ADD31",1.59762851537495e-10,0.733593151448018,0.267,0.154,3.54034479007089e-06,"4","ADD3"
"VAMP21",1.79544541042049e-10,0.719921014444834,0.449,0.337,3.97870702949182e-06,"4","VAMP2"
"C9orf161",2.30751808768181e-10,0.668572174288254,0.452,0.358,5.11346008230288e-06,"4","C9orf16"
"LDHA1",2.32305696918136e-10,0.620860813044411,0.446,0.329,5.1478942437059e-06,"4","LDHA"
"SON1",3.28912162603886e-10,0.630717761027473,0.564,0.496,7.28869352330212e-06,"4","SON"
"PRPF38B",3.52536557120393e-10,0.660080620212192,0.35,0.237,7.8122101057879e-06,"4","PRPF38B"
"BZW1",4.1262874518326e-10,0.713581595592961,0.38,0.267,9.14385299326105e-06,"4","BZW1"
"SIGIRR",4.66820861293449e-10,0.730819680768465,0.257,0.148,1.03447502862628e-05,"4","SIGIRR"
"TMEM160",5.36940715220668e-10,0.7375791449159,0.327,0.22,1.189860624929e-05,"4","TMEM160"
"TRBC21",1.05424162253358e-09,0.447034604377477,0.393,0.251,2.33619943553441e-05,"4","TRBC2"
"WDR83OS1",1.16111442220826e-09,0.72640140225974,0.389,0.293,2.57302955961351e-05,"4","WDR83OS"
"CLK11",1.18385053533651e-09,0.834089086700391,0.416,0.311,2.62341278630571e-05,"4","CLK1"
"CD47",1.25477335901121e-09,0.696794440226397,0.403,0.306,2.78057776356884e-05,"4","CD47"
"MGEA5",1.40234128973409e-09,0.820917546809996,0.271,0.166,3.10758829805073e-05,"4","MGEA5"
"MRPS6",1.45488935147707e-09,0.781253874876717,0.264,0.16,3.22403480287318e-05,"4","MRPS6"
"RAP2B1",1.66277389957903e-09,0.828555907436266,0.314,0.207,3.68470696146713e-05,"4","RAP2B"
"RSRC21",1.68712265677971e-09,0.627163733996391,0.439,0.348,3.73866380742384e-05,"4","RSRC2"
"IDS1",1.89383155085189e-09,0.657662333880613,0.38,0.26,4.19673071668778e-05,"4","IDS"
"ATP5G31",1.97206373756735e-09,0.621402615382468,0.465,0.366,4.37009324244924e-05,"4","ATP5G3"
"RBM8A",2.12864254479514e-09,0.75859867188113,0.396,0.307,4.71707187926603e-05,"4","RBM8A"
"KMT2E1",2.13870767311829e-09,0.675429209488767,0.406,0.303,4.73937620363013e-05,"4","KMT2E"
"ATP6V0E11",2.14325377869551e-09,0.692085183682053,0.469,0.379,4.74945037358926e-05,"4","ATP6V0E1"
"Z93241.11",3.08772356995489e-09,0.818004239012018,0.267,0.153,6.84239543102004e-05,"4","Z93241.1"
"PMAIP1",3.65497737340497e-09,0.750655629613695,0.294,0.183,8.09942985946541e-05,"4","PMAIP1"
